bigram,n,star,pec
super clean,37,5,0.005068493150684932
dog owners,36,5,0.004931506849315068
doggie day,36,5,0.004931506849315068
emergency vet,36,5,0.004931506849315068
veterinary clinic,36,5,0.004931506849315068
veterinary hospital,36,5,0.004931506849315068
wonderful experience,36,5,0.004931506849315068
hair cut,35,5,0.004794520547945206
health issues,35,5,0.004794520547945206
humane society,35,5,0.004794520547945206
play time,35,5,0.004794520547945206
amazing staff,34,5,0.004657534246575342
park animal,34,5,0.004657534246575342
phone calls,34,5,0.004657534246575342
customer service,22,3,0.04007285974499089
animal hospital,20,3,0.03642987249544627
front desk,20,3,0.03642987249544627
5 stars,14,3,0.025500910746812388
cat food,14,3,0.025500910746812388
dog food,14,3,0.025500910746812388
3 stars,13,3,0.023679417122040074
dog park,12,3,0.02185792349726776
pet store,12,3,0.02185792349726776
15 minutes,11,3,0.020036429872495445
1 2,10,3,0.018214936247723135
3 days,9,3,0.01639344262295082
office visit,9,3,0.01639344262295082
credit card,8,3,0.014571948998178506
pain meds,8,3,0.014571948998178506
10 minutes,7,3,0.012750455373406194
parking lot,7,3,0.012750455373406194
pet food,7,3,0.012750455373406194
pet stores,7,3,0.012750455373406194
vet tech,7,3,0.012750455373406194
vet techs,7,3,0.012750455373406194
3 star,6,3,0.01092896174863388
dental cleaning,6,3,0.01092896174863388
desk staff,6,3,0.01092896174863388
dr anderson,6,3,0.01092896174863388
extremely rude,6,3,0.01092896174863388
regular vet,6,3,0.01092896174863388
super friendly,6,3,0.01092896174863388
teeth cleaning,6,3,0.01092896174863388
2 hours,5,3,0.009107468123861567
3 30,5,3,0.009107468123861567
30 minutes,5,3,0.009107468123861567
5 minutes,5,3,0.009107468123861567
5 star,5,3,0.009107468123861567
bedside manner,5,3,0.009107468123861567
dr liz,5,3,0.009107468123861567
dr rosado,5,3,0.009107468123861567
grooming services,5,3,0.009107468123861567
pet owner,5,3,0.009107468123861567
star rating,5,3,0.009107468123861567
ve cc,5,3,0.009107468123861567
vet told,5,3,0.009107468123861567
vet visit,5,3,0.009107468123861567
2 months,4,3,0.007285974499089253
