bigram,n,year,star,pec
parking garage,48,2016,2,0.0076384468491406746
shower head,48,2016,2,0.0076384468491406746
air conditioning,47,2016,2,0.007479312539783577
fremont street,46,2016,2,0.00732017823042648
multiple times,45,2016,2,0.007161043921069383
star hotel,45,2016,2,0.007161043921069383
hard rock,44,2016,2,0.007001909611712286
king bed,44,2016,2,0.007001909611712286
water pressure,44,2016,2,0.007001909611712286
strip view,43,2016,2,0.0068427753023551875
2 star,42,2016,2,0.00668364099299809
entire time,42,2016,2,0.00668364099299809
mini fridge,41,2016,2,0.006524506683640993
pretty cool,41,2016,2,0.006524506683640993
slot machines,41,2016,2,0.006524506683640993
40 minutes,39,2016,2,0.0062062380649267985
du soleil,39,2016,2,0.0062062380649267985
late check,39,2016,2,0.0062062380649267985
cirque du,38,2016,2,0.0060471037555697
planet hollywood,38,2016,2,0.0060471037555697
time staying,38,2016,2,0.0060471037555697
wait staff,38,2016,2,0.0060471037555697
30 mins,37,2016,2,0.005887969446212603
star rating,37,2016,2,0.005887969446212603
circus circus,36,2016,2,0.005728835136855506
house keeping,36,2016,2,0.005728835136855506
toilet paper,36,2016,2,0.005728835136855506
bad experience,35,2016,2,0.005569700827498409
guest services,35,2016,2,0.005569700827498409
hotel casino,35,2016,2,0.005569700827498409
vegas strip,35,2016,2,0.005569700827498409
10 15,34,2016,2,0.0054105665181413114
fried chicken,34,2016,2,0.0054105665181413114
2 3,33,2016,2,0.005251432208784214
4 star,33,2016,2,0.005251432208784214
disturb sign,33,2016,2,0.005251432208784214
lazy river,33,2016,2,0.005251432208784214
3 days,32,2016,2,0.005092297899427116
gift shop,32,2016,2,0.005092297899427116
time share,32,2016,2,0.005092297899427116
valet parking,32,2016,2,0.005092297899427116
cigarette smoke,31,2016,2,0.004933163590070019
king size,31,2016,2,0.004933163590070019
pretty bad,31,2016,2,0.004933163590070019
box office,30,2016,2,0.004774029280712922
night stay,30,2016,2,0.004774029280712922
nthe hotel,30,2016,2,0.004774029280712922
security guard,30,2016,2,0.004774029280712922
30 min,29,2016,2,0.004614894971355824
4 people,29,2016,2,0.004614894971355824
bad service,29,2016,2,0.004614894971355824
desk staff,29,2016,2,0.004614894971355824
french fries,29,2016,2,0.004614894971355824
months ago,29,2016,2,0.004614894971355824
movie theater,29,2016,2,0.004614894971355824
nice hotel,29,2016,2,0.004614894971355824
poor service,29,2016,2,0.004614894971355824
1 hour,28,2016,2,0.004455760661998727
2 people,28,2016,2,0.004455760661998727
coffee pot,28,2016,2,0.004455760661998727
crab legs,28,2016,2,0.004455760661998727
free parking,28,2016,2,0.004455760661998727
hot dog,28,2016,2,0.004455760661998727
minute wait,28,2016,2,0.004455760661998727
las vegas,732,2018,4,0.07113702623906705
front desk,313,2018,4,0.0304178814382896
live music,302,2018,4,0.0293488824101069
highly recommend,260,2018,4,0.025267249757045675
5 stars,258,2018,4,0.02507288629737609
4 stars,255,2018,4,0.02478134110787172
happy hour,254,2018,4,0.02468415937803693
customer service,220,2018,4,0.021379980563654033
movie theater,192,2018,4,0.018658892128279883
pretty cool,167,2018,4,0.016229348882410108
gift shop,166,2018,4,0.016132167152575316
resort fee,157,2018,4,0.015257531584062196
parking lot,153,2018,4,0.014868804664723033
free parking,152,2018,4,0.014771622934888241
friendly staff,138,2018,4,0.013411078717201166
food options,136,2018,4,0.013216715257531583
fremont street,128,2018,4,0.012439261418853256
30 minutes,126,2018,4,0.012244897959183673
food court,125,2018,4,0.012147716229348883
arcade games,122,2018,4,0.01185617103984451
saturday night,122,2018,4,0.01185617103984451
date night,117,2018,4,0.011370262390670554
pleasantly surprised,117,2018,4,0.011370262390670554
ice cream,114,2018,4,0.011078717201166181
super friendly,104,2018,4,0.01010689990281827
nthe staff,101,2018,4,0.009815354713313898
tour guide,100,2018,4,0.009718172983479106
5 star,99,2018,4,0.009620991253644314
1 2,98,2018,4,0.009523809523809525
parking garage,97,2018,4,0.009426627793974733
15 minutes,96,2018,4,0.009329446064139942
pretty nice,95,2018,4,0.00923226433430515
friday night,94,2018,4,0.00913508260447036
prime rib,94,2018,4,0.00913508260447036
laser tag,92,2018,4,0.008940719144800777
reclining seats,91,2018,4,0.008843537414965987
vegas strip,91,2018,4,0.008843537414965987
20 minutes,89,2018,4,0.008649173955296404
hotel casino,89,2018,4,0.008649173955296404
mandalay bay,89,2018,4,0.008649173955296404
top notch,89,2018,4,0.008649173955296404
2 hours,88,2018,4,0.008551992225461613
casino floor,84,2018,4,0.00816326530612245
cirque du,84,2018,4,0.00816326530612245
beer selection,81,2018,4,0.007871720116618075
du soleil,81,2018,4,0.007871720116618075
family friendly,81,2018,4,0.007871720116618075
nthe food,81,2018,4,0.007871720116618075
planet hollywood,81,2018,4,0.007871720116618075
walking distance,81,2018,4,0.007871720116618075
dance floor,80,2018,4,0.007774538386783284
fun time,80,2018,4,0.007774538386783284
bowling alley,79,2018,4,0.007677356656948494
bad seat,78,2018,4,0.007580174927113703
birthday party,76,2018,4,0.007385811467444121
concession stand,74,2018,4,0.007191448007774538
fried chicken,74,2018,4,0.007191448007774538
board games,73,2018,4,0.007094266277939748
mini fridge,73,2018,4,0.007094266277939748
resort fees,73,2018,4,0.007094266277939748
front row,72,2018,4,0.006997084548104956
