bigram,n,star
price range,37,4
return policy,37,4
thrift store,37,4
unique items,37,4
1 star,36,4
2 3,36,4
gift card,36,4
nice store,36,4
outlet mall,36,4
parking garage,36,4
sales associates,36,4
star review,36,4
24 hours,35,4
extremely helpful,35,4
grocery shopping,35,4
2 hours,33,4
cactus garden,33,4
convenient location,33,4
friendly helpful,33,4
live music,33,4
pretty clean,33,4
star rating,33,4
store manager,33,4
board game,32,4
customer service,4444,5
highly recommend,2699,5
las vegas,1081,5
super friendly,662,5
friendly staff,535,5
top notch,505,5
5 stars,500,5
extremely helpful,451,5
highly recommended,421,5
love love,389,5
excellent customer,366,5
super helpful,334,5
super nice,302,5
excellent service,298,5
amazing job,292,5
absolutely love,281,5
wedding dress,278,5
engagement ring,276,5
shopping experience,261,5
huge selection,254,5
5 star,237,5
vape shop,236,5
helpful staff,233,5
reasonable price,232,5
nthe staff,230,5
reasonable prices,228,5
garage door,218,5
feel comfortable,217,5
15 minutes,214,5
10 minutes,212,5
knowledgeable staff,203,5
30 minutes,200,5
months ago,195,5
bike shop,193,5
wonderful experience,193,5
20 minutes,191,5
friendly service,191,5
home depot,191,5
hair cut,190,5
grocery store,179,5
2 hours,178,5
sales associate,177,5
amazing customer,175,5
extremely friendly,174,5
eye exam,174,5
sales person,170,5
parking lot,169,5
absolutely amazing,164,5
ni love,163,5
excellent job,162,5
ni highly,162,5
weeks ago,160,5
local business,159,5
family owned,158,5
extremely knowledgeable,157,5
friendly helpful,157,5
pleasantly surprised,157,5
5 minutes,155,5
store manager,154,5
nthe store,153,5
front desk,150,5
wide variety,150,5
extra mile,142,5
fair price,142,5
iphone 6,141,5
david's bridal,138,5
eye care,138,5
price range,138,5
2 weeks,136,5
amazing experience,133,5
amazing service,132,5
1 2,131,5
yelp reviews,131,5
bad experience,126,5
apple store,125,5
trader joe's,125,5
food court,122,5
nice selection,122,5
fantastic job,121,5
ice cream,119,5
eye doctor,117,5
pleasant experience,115,5
entire staff,113,5
awesome job,112,5
sales people,112,5
awesome experience,111,5
mattress firm,110,5
24 hours,109,5
friendly knowledgeable,109,5
2 days,107,5
awesome service,107,5
perfect dress,107,5
incredibly helpful,106,5
wide selection,106,5
phone call,105,5
shopping center,105,5
3 hours,104,5
credit card,103,5
nice guy,101,5
quality products,101,5
customer service,812,4
las vegas,299,4
4 stars,227,4
food court,224,4
parking lot,214,4
5 stars,213,4
friendly staff,169,4
grocery store,159,4
highly recommend,152,4
nthe staff,133,4
super friendly,128,4
nthe store,116,4
ice cream,114,4
nice selection,99,4
huge selection,98,4
trader joe's,95,4
home depot,93,4
super nice,88,4
pretty cool,83,4
10 minutes,82,4
shopping experience,82,4
5 star,76,4
shopping center,75,4
helpful staff,73,4
1 2,72,4
thrift store,72,4
front desk,69,4
reasonable prices,68,4
15 minutes,67,4
extremely helpful,67,4
pleasantly surprised,67,4
ni love,66,4
30 minutes,65,4
grocery stores,65,4
wide variety,65,4
gluten free,64,4
sales people,62,4
super helpful,62,4
home decor,60,4
star rating,60,4
top notch,60,4
coffee shop,59,4
5 minutes,58,4
reasonable price,56,4
decent selection,55,4
town square,55,4
sales associate,54,4
return policy,53,4
bit pricey,52,4
coca cola,52,4
credit card,52,4
knick knacks,51,4
price range,51,4
wide selection,51,4
2 hours,50,4
pretty nice,50,4
sales associates,49,4
love love,48,4
apple store,47,4
board games,47,4
conveniently located,47,4
nthis location,47,4
20 minutes,46,4
worth checking,46,4
friendly service,45,4
gift shop,45,4
nthis store,45,4
pretty decent,45,4
sam's club,45,4
2 3,44,4
grocery shopping,44,4
sales person,44,4
months ago,42,4
unique items,42,4
wal mart,42,4
2 weeks,41,4
black friday,41,4
downtown summerlin,41,4
michael kors,41,4
